name,title,origin,weaponType,moveType,rarities,releaseDate,assets/portrait/75px,assets/portrait/113px,assets/portrait/150px,skills/0/name,skills/0/default,skills/0/rarity,skills/1/name,skills/1/default,skills/1/rarity,skills/2/name,skills/2/default,skills/2/rarity,skills/3/name,skills/3/default,skills/3/rarity,skills/4/name,skills/4/default,skills/4/rarity,skills/5/name,skills/5/default,skills/5/rarity,skills/6/name,skills/6/rarity,skills/7/name,skills/7/rarity,skills/8/name,skills/8/rarity,skills/9/name,skills/9/rarity,skills/10/name,skills/10/rarity,skills/11/name,skills/11/rarity,stats/1/4/hp,stats/1/4/atk,stats/1/4/spd,stats/1/4/def,stats/1/4/res,stats/1/5/hp,stats/1/5/atk,stats/1/5/spd,stats/1/5/def,stats/1/5/res,stats/40/4/hp/0,stats/40/4/hp/1,stats/40/4/hp/2,stats/40/4/atk/0,stats/40/4/atk/1,stats/40/4/atk/2,stats/40/4/spd/0,stats/40/4/spd/1,stats/40/4/spd/2,stats/40/4/def/0,stats/40/4/def/1,stats/40/4/def/2,stats/40/4/res/0,stats/40/4/res/1,stats/40/4/res/2,stats/40/5/hp/0,stats/40/5/hp/1,stats/40/5/hp/2,stats/40/5/atk/0,stats/40/5/atk/1,stats/40/5/atk/2,stats/40/5/spd/0,stats/40/5/spd/1,stats/40/5/spd/2,stats/40/5/def/0,stats/40/5/def/1,stats/40/5/def/2,stats/40/5/res/0,stats/40/5/res/1,stats/40/5/res/2,stats/1/2/hp,stats/1/2/atk,stats/1/2/spd,stats/1/2/def,stats/1/2/res,stats/1/3/hp,stats/1/3/atk,stats/1/3/spd,stats/1/3/def,stats/1/3/res,stats/40/2/hp/0,stats/40/2/hp/1,stats/40/2/hp/2,stats/40/2/atk/0,stats/40/2/atk/1,stats/40/2/atk/2,stats/40/2/spd/0,stats/40/2/spd/1,stats/40/2/spd/2,stats/40/2/def/0,stats/40/2/def/1,stats/40/2/def/2,stats/40/2/res/0,stats/40/2/res/1,stats/40/2/res/2,stats/40/3/hp/0,stats/40/3/hp/1,stats/40/3/hp/2,stats/40/3/atk/0,stats/40/3/atk/1,stats/40/3/atk/2,stats/40/3/spd/0,stats/40/3/spd/1,stats/40/3/spd/2,stats/40/3/def/0,stats/40/3/def/1,stats/40/3/def/2,stats/40/3/res/0,stats/40/3/res/1,stats/40/3/res/2,skills/6/default,skills/12/name,skills/12/rarity,shortName,stats/1/1/hp,stats/1/1/atk,stats/1/1/spd,stats/1/1/def,stats/1/1/res,stats/40/1/hp/0,stats/40/1/hp/1,stats/40/1/hp/2,stats/40/1/atk/0,stats/40/1/atk/1,stats/40/1/atk/2,stats/40/1/spd/0,stats/40/1/spd/1,stats/40/1/spd/2,stats/40/1/def/0,stats/40/1/def/1,stats/40/1/def/2,stats/40/1/res/0,stats/40/1/res/1,stats/40/1/res/2,skills/13/name,skills/13/rarity,skills/14/name,skills/14/rarity
Camus,Sable Knight,Fire Emblem: Mystery of the Emblem,Blue Lance,Cavalry,3-4,"Jun 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Camus.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Camus.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Camus.png,Iron Lance,-,-,Steel Lance,3,-,Silver Lance,4,3,Gradivus,-,5,Rising Thunder,4,3,Growing Thunder,-,4,Grani's Shield,4,Spur Atk 1,-,Spur Atk 2,-,Goad Cavalry,4,,,,,17,8,9,6,3,18,8,9,7,4,36,39,42,27,30,33,28,31,34,25,28,31,12,15,18,39,42,45,29,32,35,30,33,36,28,31,34,13,17,20,,,,,,17,7,8,6,3,,,,,,,,,,,,,,,,35,38,41,25,28,31,26,29,32,24,27,30,11,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catria,Middle Whitewing,Fire Emblem: Mystery of the Emblem,Blue Lance,Flying,3-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Catria.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Catria.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Catria.png,Iron Lance,-,-,Steel Lance,3,-,Killer Lance,4,3,Killer Lance+,5,5,New Moon,4,-,Luna,-,4,Armored Blow 1,-,Armored Blow 2,-,Armored Blow 3,4,Seal Atk 1,-,Seal Atk 2,4,Seal Atk 3,5,16,7,10,6,5,17,7,10,7,6,33,36,39,26,29,32,29,32,35,23,26,29,20,23,26,35,39,42,28,31,34,31,34,37,25,29,32,22,25,29,,,,,,16,6,9,6,5,,,,,,,,,,,,,,,,32,35,38,24,27,30,27,30,33,22,25,28,19,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecilia,Etrurian General,Fire Emblem: The Binding Blade,Green Tome,Cavalry,1-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Cecilia.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Cecilia.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Cecilia.png,Wind,1,-,Elwind,3,2,Gronnraven,4,3,Gronnraven+,5,5,Rally Resistance,4,3,Attack +1,,3,Attack +2,4,Attack +3,5,Escape Route 1,1,Escape Route 2,2,Escape Route 3,4,,,16,8,5,4,7,17,8,6,5,7,31,34,37,27,30,33,20,23,26,17,20,23,24,27,30,33,36,40,29,32,35,22,25,29,19,22,25,25,29,32,15,7,4,3,6,16,7,5,4,6,28,30,33,23,26,29,17,19,22,14,17,19,20,23,26,30,33,36,25,28,31,19,22,25,16,19,22,22,25,28,,,,,15,6,4,3,5,27,29,32,21,24,26,16,18,21,13,16,18,18,21,24,,,,
Celica,Caring Princess,Fire Emblem Echoes: Shadows of Valentia,Red Tome,Infantry,5,"May 15, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Celica.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Celica.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Celica.png,Fire,-,-,Elfire,-,-,Bolganone,-,-,Ragnarok,5,-,Rising Light,5,-,Blazing Light,-,5,Distant Def 1,-,Distant Def 2,-,Distant Def 3,5,Spur Def 1,-,Spur Def 2,-,Spur Def 3,5,,,,,,17,8,7,5,7,,,,,,,,,,,,,,,,35,39,42,29,32,35,30,33,36,19,22,25,19,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte (Bridal Blessings),Money Maiden,Fire Emblem Fates,Blue Lance,Infantry,5,"May 30, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Charlotte (Bridal Blessings).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Charlotte (Bridal Blessings).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Charlotte (Bridal Blessings).png,Iron Lance,-,-,Steel Lance,-,-,First Bite,-,-,First Bite+,5,-,Smite,5,-,Wind Boost 1,,-,Wind Boost 2,-,Wind Boost 3,5,Threaten Atk 1,-,Threaten Atk 2,-,Threaten Atk 3,5,,,,,,,,20,10,8,5,4,,,,,,,,,,,,,,,,43,46,49,33,36,39,29,32,35,21,24,28,16,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte (B),,,,,,,,,,,,,,,,,,,,,,,,
Cherche,Wyvern Friend,Fire Emblem Awakening,Green Axe,Flying,3-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Cherche.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Cherche.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Cherche.png,Iron Axe,-,-,Steel Axe,3,-,Hammer,4,3,Hammer+,5,5,Pivot,4,3,Attack +1,,-,Attack +2,3,Attack +3,4,Fortify Def 1,3,Fortify Def 2,4,Fortify Def 3,5,,,19,10,5,8,2,20,10,6,8,3,40,43,46,33,36,39,20,23,26,27,30,33,11,14,17,43,46,49,35,38,41,22,25,29,29,32,35,12,16,19,,,,,,19,9,5,7,2,,,,,,,,,,,,,,,,39,42,45,31,34,37,19,22,25,25,28,31,10,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrom,Exalted Prince,Fire Emblem Awakening,Red Sword,Infantry,4-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Chrom.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Chrom.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Chrom.png,Iron Sword,-,-,Steel Sword,-,-,Silver Sword,4,-,Falchion,5,5,Daylight,4,-,Sol,-,4,Aether,5,Defiant Def 1,-,Defiant Def 2,-,Defiant Def 3,4,Spur Def 1,-,Spur Def 2,4,20,9,5,7,3,21,9,6,7,4,41,44,47,32,35,38,20,23,26,26,29,32,12,15,18,44,47,50,34,37,40,22,25,29,28,31,34,13,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,Spur Def 3,5,,,,,,,,,,,,,,,,,,,,,,,,,
Chrom (Spring Festival),Spring Exalt,Fire Emblem Awakening,Green Axe,Infantry,5,"Mar 30, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Chrom (Spring Festival).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Chrom (Spring Festival).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Chrom (Spring Festival).png,Iron Axe,-,-,Steel Axe,-,-,Carrot Axe,-,-,Carrot Axe+,5,-,Shove,5,-,Defense +1,,-,Attack Def +1,-,Attack Def +2,5,Axe Experience 1,-,Axe Experience 2,-,Axe Experience 3,5,,,,,,,,19,9,8,6,5,,,,,,,,,,,,,,,,40,43,46,32,35,38,29,32,35,24,28,31,17,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrom (S),,,,,,,,,,,,,,,,,,,,,,,,
Clair,Highborn Flier,Fire Emblem Echoes: Shadows of Valentia,Blue Lance,Flying,4-5,"Apr 14, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Clair.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Clair.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Clair.png,Iron Lance,-,-,Steel Lance,-,-,Silver Lance,4,-,Silver Lance+,5,5,Harsh Command,4,-,Hit and Run,,4,Spur Spd 1,-,Spur Spd 2,4,Spur Spd 3,5,,,,,,,17,6,8,4,9,18,7,8,5,9,32,35,38,21,24,27,31,34,37,19,22,25,28,31,34,34,37,41,23,26,30,33,36,39,21,24,28,30,33,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarine,Refined Noble,Fire Emblem: The Binding Blade,Neutral Staff,Cavalry,3-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Clarine.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Clarine.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Clarine.png,Assault,-,-,Fear,-,3,Heal,-,-,Reconcile,3,-,Martyr,5,4,Imbue,3,-,Swift-Winds Balm,3,Resistance +1,3,Resistance +2,4,Resistance +3,5,,,,,15,5,9,4,7,16,6,9,5,7,30,33,36,20,23,26,28,31,34,17,20,23,24,27,30,32,35,39,22,25,29,30,33,36,19,22,25,25,29,32,,,,,,15,5,8,4,6,,,,,,,,,,,,,,,,29,32,35,19,22,25,26,29,32,16,19,22,22,25,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarisse,Sniper in the Dark,Fire Emblem: New Mystery of the Emblem,Neutral Bow,Infantry,3-4,"Jun 28, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Clarisse.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Clarisse.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Clarisse.png,Iron Bow,-,-,Steel Bow,3,-,Clarisse's Bow,4,3,Clarisse's Bow+,-,5,Night Sky,4,3,Glimmer,-,4,Poison Strike 1,-,Poison Strike 2,3,Poison Strike 3,4,Threaten Def 1,3,Threaten Def 2,4,Threaten Def 3,5,17,7,8,5,4,18,7,8,6,5,32,35,38,26,29,32,29,32,35,20,23,26,15,18,21,34,37,41,28,31,34,31,34,37,22,25,29,17,20,23,,,,,,17,6,7,5,4,,,,,,,,,,,,,,,,31,34,37,24,27,30,27,30,33,19,22,25,14,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clive,Idealistic Knight,Fire Emblem Echoes: Shadows of Valentia,Blue Lance,Cavalry,4-5,"Aug 11, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Clive.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Clive.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Clive.png,Iron Lance,-,-,Steel Lance,-,-,Silver Lance,4,-,Silver Lance+,5,5,Buckler,4,-,Escutcheon,-,4,Defense +1,-,Defense +2,-,Defense +3,4,Hit and Run,4,,,,,18,9,5,8,3,19,9,6,8,4,39,42,45,28,31,34,20,23,26,27,30,33,14,17,20,42,45,48,30,33,36,22,25,29,29,32,35,16,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordelia,Knight Paragon,Fire Emblem Awakening,Blue Lance,Flying,4-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Cordelia.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Cordelia.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Cordelia.png,Iron Lance,-,-,Steel Lance,-,-,Brave Lance,4,-,Brave Lance+,5,5,Night Sky,4,-,Astra,-,4,Galeforce,5,Triangle Adept 1,-,Triangle Adept 2,4,Triangle Adept 3,5,Pass 1,-,Pass 2,-,17,9,9,4,5,18,9,9,5,6,34,37,40,30,33,36,30,33,36,17,20,23,20,23,26,36,40,43,32,35,38,32,35,38,19,22,25,22,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,Pass 3,4,,,,,,,,,,,,,,,,,,,,,,,,,
Cordelia (Bridal Blessings),Perfect Bride,Fire Emblem Awakening,Neutral Bow,Infantry,5,"May 30, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Cordelia (Bridal Blessings).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Cordelia (Bridal Blessings).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Cordelia (Bridal Blessings).png,Iron Bow,-,-,Steel Bow,-,-,Cupid Arrow,-,-,Cupid Arrow+,5,-,Rally Attack,5,-,Rally Attack Speed,-,5,Escape Route 1,-,Escape Route 2,-,Escape Route 3,5,Breath of Life 1,-,Breath of Life 2,-,Breath of Life 3,5,,,,,,17,9,9,4,5,,,,,,,,,,,,,,,,33,36,40,32,35,38,32,35,38,16,19,22,19,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordelia (B),,,,,,,,,,,,,,,,,,,,,,,,
Corrin (F),Fateful Princess,Fire Emblem Fates,Blue Breath,Infantry,3-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Corrin (F).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Corrin (F).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Corrin (F).png,Fire Breath,-,-,Fire Breath+,3,-,Dark Breath,4,3,Dark Breath+,-,5,Dragon Gaze,4,3,Draconic Aura,-,4,Seal Res 1,3,Seal Res 2,4,Seal Res 3,5,Hone Atk 1,-,Hone Atk 2,3,Hone Atk 3,4,18,8,5,8,5,19,8,6,8,6,35,38,41,23,26,29,28,31,34,29,32,35,16,19,22,37,41,44,24,27,31,31,34,37,31,34,37,18,21,24,,,,,,18,7,5,7,5,,,,,,,,,,,,,,,,34,37,40,21,24,27,27,30,33,27,30,33,15,18,21,,,,Corrin (F),,,,,,,,,,,,,,,,,,,,,,,,
Corrin (F) (Nohrian Summer),Novice Vacationer,Fire Emblem Fates,Blue Tome,Flying,5,"Jul 28, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Corrin (F) (Nohrian Summer).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Corrin (F) (Nohrian Summer).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Corrin (F) (Nohrian Summer).png,Thunder,-,-,Elthunder,-,-,Sealife Tome,-,-,Sealife Tome+,5,-,Dragon Gaze,5,-,Dragon Fang,-,5,Darting Blow 1,-,Swift Strike 1,-,Swift Strike 2,5,Fortify Res 1,-,Fortify Res 2,-,Fortify Fliers,5,,,,,,17,7,8,5,7,,,,,,,,,,,,,,,,31,34,37,28,31,34,31,34,37,19,22,25,23,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corrin (F),,,,,,,,,,,,,,,,,,,,,,,,
Corrin (M),Fateful Prince,Fire Emblem Fates,Red Sword,Infantry,4-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Corrin (M).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Corrin (M).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Corrin (M).png,Iron Sword,-,-,Steel Sword,-,-,Silver Sword,4,-,Yato,5,5,Dragon Gaze,4,-,Dragon Fang,-,4,Defense +1,-,Defense +2,-,Defense +3,4,Obstruct 1,-,Obstruct 2,4,Obstruct 3,5,19,8,8,5,4,20,8,8,6,5,36,39,42,27,30,33,27,30,33,22,25,28,19,22,25,38,42,45,29,32,35,29,32,35,24,28,31,21,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corrin (M),,,,,,,,,,,,,,,,,,,,,,,,
Deirdre,Lady of the Forest,Fire Emblem: Genealogy of the Holy War,Green Tome,Infantry,5,"Oct 16, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Deirdre.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Deirdre.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Deirdre.png,Wind,-,-,Elwind,-,-,Rexcalibur,-,-,Divine Naga,5,-,Ardent Sacrifice,5,-,Quick Riposte 1,,-,Quick Riposte 2,-,Quick Riposte 3,5,Spd Ploy 1,-,Spd Ploy 2,-,Spd Ploy 3,5,,,,,,,,17,9,6,3,9,,,,,,,,,,,,,,,,33,36,40,30,33,36,24,28,31,12,16,19,32,35,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delthea,Free Spirit,Fire Emblem Echoes: Shadows of Valentia,Blue Tome,Infantry,5,"Jul 13, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Delthea.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Delthea.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Delthea.png,Thunder,-,-,Elthunder,-,-,Thoron,-,-,Dark Aura,5,-,Miracle,5,-,Death Blow 1,,-,Death Blow 2,-,Death Blow 3,5,Spur Atk 1,-,Drive Atk 1,-,Drive Atk 2,5,,,,,,,,16,10,8,3,7,,,,,,,,,,,,,,,,30,33,36,33,36,39,31,34,37,10,13,17,28,31,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnel,Village Hero,Fire Emblem Awakening,Blue Lance,Infantry,1-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Donnel.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Donnel.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Donnel.png,Iron Lance,1,-,Steel Lance,3,2,Brave Lance,4,3,Brave Lance+,-,5,Reciprocal Aid,4,3,HP +3,,1,HP +4,2,HP +5,4,Drag Back,3,,,,,,,16,7,4,6,3,17,7,5,6,4,37,40,43,30,33,36,23,26,29,27,30,33,18,21,24,40,43,46,32,35,38,26,29,32,29,32,35,20,23,27,15,6,3,5,2,16,6,4,5,3,33,36,39,26,29,32,19,22,25,23,26,29,15,17,20,36,39,42,28,31,34,22,25,28,25,28,31,17,20,23,,,,,15,5,3,4,2,32,34,37,23,26,29,18,21,23,21,23,26,14,16,19,,,,
Draug,Gentle Giant,Fire Emblem: Mystery of the Emblem,Red Sword,Armored,2-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Draug.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Draug.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Draug.png,Iron Sword,2,-,Steel Sword,-,2,Brave Sword,4,3,Brave Sword+,5,5,Buckler,4,3,Pavise,-,4,Lunge,3,Spur Def 1,-,Spur Def 2,2,Ward Armor,4,,,,,23,8,5,13,2,24,8,6,13,3,44,47,50,25,28,31,26,29,32,34,37,40,13,16,19,47,50,53,26,30,33,29,32,35,36,39,42,15,18,21,22,7,4,12,1,23,7,5,12,2,40,43,46,21,24,27,22,25,28,30,33,36,10,13,16,43,46,49,23,26,29,25,28,31,32,35,38,12,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effie,Army of One,Fire Emblem Fates,Blue Lance,Armored,4-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Effie.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Effie.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Effie.png,Iron Lance,-,-,Steel Lance,-,-,Silver Lance,4,-,Silver Lance+,5,5,Smite,4,-,Death Blow 1,,-,Death Blow 2,4,Death Blow 3,5,Wary Fighter 1,-,Wary Fighter 2,-,Wary Fighter 3,4,,,21,12,4,11,3,22,12,5,11,4,44,47,50,35,38,41,17,20,23,28,31,34,18,21,24,47,50,53,37,40,43,19,22,25,29,33,36,20,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eirika,Restoration Lady,Fire Emblem: The Sacred Stones,Red Sword,Infantry,4-5,"Feb 15, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Eirika.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Eirika.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Eirika.png,Iron Sword,-,-,Steel Sword,-,-,Silver Sword,4,-,Sieglinde,5,5,Pivot,4,-,Drag Back,,4,Hone Spd 1,-,Hone Spd 2,-,Hone Spd 3,4,,,,,,,17,7,9,6,5,18,7,9,7,6,36,39,42,22,25,28,30,33,36,21,24,27,22,25,28,39,42,45,23,26,30,32,35,38,23,26,30,24,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldigan,Lionheart,Fire Emblem: Genealogy of the Holy War,Red Sword,Cavalry,5,"Feb 27, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Eldigan.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Eldigan.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Eldigan.png,Iron Sword,-,-,Steel Sword,-,-,Killing Edge,-,-,Mystletainn,5,-,Rising Light,-,-,Growing Light,5,-,Fury 1,-,Fury 2,-,Fury 3,5,Lunge,5,,,,,,,,,,19,8,5,8,6,,,,,,,,,,,,,,,,42,45,48,29,32,35,21,24,28,31,34,37,15,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elincia,Lost Princess,Fire Emblem: Path of Radiance,Red Sword,Flying,5,"Sep 15, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Elincia.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Elincia.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Elincia.png,Iron Sword,-,-,Steel Sword,-,-,Silver Sword,-,-,Amiti,5,-,Ardent Sacrifice,5,-,Death Blow 1,,-,Death Blow 2,-,Death Blow 3,5,Flier Formation 1,-,Flier Formation 2,-,Flier Formation 3,5,,,,,,,,16,8,10,5,8,,,,,,,,,,,,,,,,32,35,39,31,34,37,33,36,39,21,24,28,24,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise,Budding Flower,Fire Emblem Fates,Neutral Staff,Cavalry,5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Elise.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Elise.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Elise.png,Assault,-,-,Gravity,-,5,Heal,-,-,Mend,-,-,Recover,5,-,Imbue,-,-,Kindled-Fire Balm,-,Live to Serve 1,-,Live to Serve 2,-,Live to Serve 3,5,,,,,,,,,,15,8,8,4,8,,,,,,,,,,,,,,,,27,30,33,29,32,35,29,32,35,16,19,22,29,32,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise (Nohrian Summer),Tropical Flower,Fire Emblem Fates,Green Tome,Infantry,5,"Jul 28, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Elise (Nohrian Summer).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Elise (Nohrian Summer).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Elise (Nohrian Summer).png,Wind,-,-,Elwind,-,-,Hibiscus Tome,-,-,Hibiscus Tome+,5,-,Rally Attack,5,-,Rally Attack Resistance,-,5,Speed +1,-,Spd Res 1,-,Spd Res 2,5,G Tome Valor 1,-,G Tome Valor 2,-,G Tome Valor 3,5,,,,,,17,10,8,3,6,,,,,,,,,,,,,,,,31,34,37,33,36,39,31,34,37,15,18,21,22,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise (N),,,,,,,,,,,,,,,,,,,,,,,,
